programme_label,degree,pathway,year,semester,module_code,module_name,status,collection,has_skills
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,3,Autumn,BIOFELH,Optional Biology Module,optional,BIOFELH,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,3,Autumn,BIOU9PC,Population and Community Ecology,pathway,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,3,Spring,BIOU6PE,Plant Ecology,compulsory,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,3,Spring,BIOFELH,Optional Biology Module,optional,BIOFELH,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,3,Spring,BIOU6BE,Behavioural Ecology,pathway,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,4,Autumn,SCIU9PS,Biological and Environmental Sciences Honours Project Start,compulsory,,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,4,Autumn,BIOFSE7,Optional Biology Module,optional,BIOFSE7,FALSE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,4,Autumn,BIOU9SX,Evolutionary Consequences of Sexual Reproduction,pathway,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,4,Spring,SCIU9PR,Biological and Environmental Sciences Honours Project,compulsory,,TRUE
Biology — Ecological and Evolutionary,Biology,Ecological and Evolutionary,4,Spring,BIOFSE8,Optional Biology Module,optional,BIOFSE8,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,1,Autumn,BIOU1IE,Ecology: An Introduction,compulsory,,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,1,Autumn,SCIU1FI,Fundamentals for scientific inquiry,compulsory,,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,1,Autumn,ANYFBI1,Optional module,optional,,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,1,Spring,BIOU2PH,Introduction to Physiology,compulsory,,TRUE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,1,Spring,BIOU2CE,"Cells, the building blocks of life",compulsory,,TRUE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,1,Spring,ANYSE2,Optional module,optional,,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,2,Autumn,BIOU3GE,Evolution and Genetics,compulsory,,TRUE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,2,Autumn,SCIU3FB,Practical Field Biology,compulsory,,TRUE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,2,Autumn,SCIU3LS,Lab Essentials for Physical and Life Sciences,compulsory,,TRUE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,2,Spring,BIOU4BD,Biodiversity,compulsory,,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,2,Spring,SCIU4T4,Statistical Techniques,compulsory,,TRUE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,2,Spring,ANYSE4,Optional module,optional,,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,3,Autumn,BIOFELH,Optional Biology Module,optional,BIOFELH,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,3,Autumn,BIOFELH,Optional Biology Module,optional,BIOFELH,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,3,Autumn,BIOU5MB,Microbiology,pathway,,TRUE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,3,Spring,BIOU6PE,Plant Ecology,compulsory,,TRUE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,3,Spring,BIOFELH,Optional Biology Module,optional,BIOFELH,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,3,Spring,BIOU9IN,Infectious Disease,pathway,,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,4,Autumn,SCIU9PS,Biological and Environmental Sciences Honours Project Start,compulsory,,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,4,Autumn,BIOFSE7,Optional Biology Module,optional,BIOFSE7,FALSE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,4,Autumn,BIOU7CM,Biological Control Mechanisms,pathway,,TRUE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,4,Spring,SCIU9PR,Biological and Environmental Sciences Honours Project,compulsory,,TRUE
Biology — Physiology and Molecular,Biology,Physiology and Molecular,4,Spring,BIOFSE8,Optional Biology Module,optional,BIOFSE8,FALSE
