module_code,module_name,coordinator,year,semester,category,skill_name,level
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,lab,Water Quality Assessment,1
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Adaptability,1
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Verbal Communication,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Written Communication,3
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Conflict Resolution,1
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Critical Thinking,3
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Detail-Orientated Skills,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Innovation,1
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Integrated Problem-solving,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Interpersonal Skills,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Leadership,1
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Reliability,3
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Resourcefulness,1
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Self-awareness,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Self-motivation,2
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Teamwork & Collaboration,3
ENVU4E4,The Biosphere,Jens-Arne Subke,2,4,personal,Time Management,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,AI (generative) Competency,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Computer Programming,1
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Data Management,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Effective Email Communication,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Geographical Information Systems (GIS),0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Graphic Design,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Modelling,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Presentation Software,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Remote Meeting/Collaborative Software,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Remote Sensing (data collection and analysis),0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Social Media,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Spreadsheet Creation and Management,3
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Statistical Programmes,3
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,computational,Word Processing,3
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,Application of Remote Observations,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,Conducting Transects,1
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,Core Skills,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,Drone Observations,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,Environmental Impact Assessment,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,GPS Usage,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,Health and Safety Competency,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,Mapping Skills,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,Sampling: In-situ Monitoring,1
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,Sampling: Physical Collection,1
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,field,Species Monitoring,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Accurate Result Reporting,1
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Air Quality Analysis,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Chemical Handling,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Developing and Implementing SOPs,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Good Laboratory Practices (GLP),0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Maintaining Lab Notebooks,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Microscopy,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Operating Lab Equipment,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Physical Chemical Analysis,0
