"module_code","category","skill_name","level"
"ENVU9FC","personal","Self-motivation","3"
"ENVU9FC","personal","Teamwork & Collaboration","3"
"ENVU9FC","personal","Time Management","3"
"BIOU6BE","computational","AI (generative) Competency","0"
"BIOU6BE","computational","Computer Programming","0"
"BIOU6BE","computational","Data Management","2"
"BIOU6BE","computational","Effective Email Communication","0"
"BIOU6BE","computational","Geographical Information Systems (GIS)","0"
"BIOU6BE","computational","Graphic Design","0"
"BIOU6BE","computational","Modelling","0"
"BIOU6BE","computational","Presentation Software","0"
"BIOU6BE","computational","Remote Meeting/Collaborative Software","0"
"BIOU6BE","computational","Remote Sensing (data collection and analysis)","0"
"BIOU6BE","computational","Social Media","0"
"BIOU6BE","computational","Spreadsheet Creation and Management","2"
"BIOU6BE","computational","Statistical Programmes","3"
"BIOU6BE","computational","Word Processing","3"
"BIOU6BE","field","Application of Remote Observations","0"
"BIOU6BE","field","Conducting Transects","0"
"BIOU6BE","field","Core Skills","0"
"BIOU6BE","field","Drone Observations","0"
"BIOU6BE","field","Environmental Impact Assessment","0"
"BIOU6BE","field","GPS Usage","0"
"BIOU6BE","field","Health and Safety Competency","0"
"BIOU6BE","field","Mapping Skills","0"
"BIOU6BE","field","Sampling: In-situ Monitoring","3"
"BIOU6BE","field","Sampling: Physical Collection","0"
"BIOU6BE","field","Species Monitoring","0"
"BIOU6BE","lab","Accurate Result Reporting","3"
"BIOU6BE","lab","Air Quality Analysis","0"
"BIOU6BE","lab","Chemical Handling","0"
"BIOU6BE","lab","Developing and Implementing SOPs","0"
"BIOU6BE","lab","Good Laboratory Practices (GLP)","3"
"BIOU6BE","lab","Maintaining Lab Notebooks","3"
"BIOU6BE","lab","Operating Lab Equipment","0"
"BIOU6BE","lab","Physical Chemical Analysis","0"
"BIOU6BE","lab","Pipetting","0"
"BIOU6BE","lab","Risk Assessments","0"
"BIOU6BE","lab","Sample Preparation and Handling","0"
"BIOU6BE","lab","Soil Quality Assessment","0"
"BIOU6BE","lab","Water Quality Assessment","0"
"BIOU6BE","personal","Adaptability","3"
"BIOU6BE","personal","Verbal Communication","0"
"BIOU6BE","personal","Written Communication","3"
"BIOU6BE","personal","Conflict Resolution","0"
"BIOU6BE","personal","Critical Thinking","3"
"BIOU6BE","personal","Detail-Orientated Skills","0"
"BIOU6BE","personal","Innovation","3"
"BIOU6BE","personal","Integrated Problem-solving","3"
"BIOU6BE","personal","Interpersonal Skills","0"
"BIOU6BE","personal","Leadership","0"
"BIOU6BE","personal","Reliability","3"
"BIOU6BE","personal","Resourcefulness","3"
"BIOU6BE","personal","Self-awareness","0"
"BIOU6BE","personal","Self-motivation","3"
"BIOU6BE","personal","Teamwork & Collaboration","0"
"BIOU6BE","personal","Time Management","3"
"BIOU9AP","computational","AI (generative) Competency","0"
"BIOU9AP","computational","Computer Programming","0"
"BIOU9AP","computational","Data Management","0"
"BIOU9AP","computational","Effective Email Communication","0"
"BIOU9AP","computational","Geographical Information Systems (GIS)","0"
"BIOU9AP","computational","Graphic Design","2"
"BIOU9AP","computational","Modelling","0"
"BIOU9AP","computational","Presentation Software","0"
"BIOU9AP","computational","Remote Meeting/Collaborative Software","0"
"BIOU9AP","computational","Remote Sensing (data collection and analysis)","0"
"BIOU9AP","computational","Social Media","0"
"BIOU9AP","computational","Spreadsheet Creation and Management","2"
"BIOU9AP","computational","Statistical Programmes","0"
"BIOU9AP","computational","Word Processing","2"
"BIOU9AP","field","Application of Remote Observations","0"
"BIOU9AP","field","Conducting Transects","0"
"BIOU9AP","field","Core Skills","0"
"BIOU9AP","field","Drone Observations","0"
"BIOU9AP","field","Environmental Impact Assessment","0"
"BIOU9AP","field","GPS Usage","0"
"BIOU9AP","field","Health and Safety Competency","0"
"BIOU9AP","field","Mapping Skills","0"
"BIOU9AP","field","Sampling: In-situ Monitoring","0"
"BIOU9AP","field","Sampling: Physical Collection","0"
"BIOU9AP","field","Species Monitoring","0"
"BIOU9AP","lab","Accurate Result Reporting","2"
"BIOU9AP","lab","Air Quality Analysis","0"
"BIOU9AP","lab","Chemical Handling","0"
"BIOU9AP","lab","Developing and Implementing SOPs","0"
"BIOU9AP","lab","Good Laboratory Practices (GLP)","2"
"BIOU9AP","lab","Maintaining Lab Notebooks","2"
"BIOU9AP","lab","Microscopy","0"
"BIOU9AP","lab","Operating Lab Equipment","2"
"BIOU9AP","lab","Physical Chemical Analysis","0"
"BIOU9AP","lab","Pipetting","2"
"BIOU9AP","lab","Sample Preparation and Handling","0"
"BIOU9AP","lab","Soil Quality Assessment","0"
"BIOU9AP","lab","Water Quality Assessment","0"
"BIOU9AP","personal","Adaptability","0"
"BIOU9AP","personal","Verbal Communication","0"
"BIOU9AP","personal","Written Communication","2"
"BIOU9AP","personal","Conflict Resolution","0"
"BIOU9AP","personal","Critical Thinking","0"
"BIOU9AP","personal","Detail-Orientated Skills","0"
"BIOU9AP","personal","Innovation","0"
"BIOU9AP","personal","Integrated Problem-solving","0"
"BIOU9AP","personal","Interpersonal Skills","0"
"BIOU9AP","personal","Leadership","0"
"BIOU9AP","personal","Reliability","0"
"BIOU9AP","personal","Resourcefulness","0"
"BIOU9AP","personal","Self-awareness","0"
"BIOU9AP","personal","Self-motivation","0"
"BIOU9AP","personal","Teamwork & Collaboration","0"
"BIOU9AP","personal","Time Management","0"
"BIOU2PH","computational","AI (generative) Competency","0"
"BIOU2PH","computational","Computer Programming","0"
"BIOU2PH","computational","Data Management","0"
"BIOU2PH","computational","Effective Email Communication","0"
"BIOU2PH","computational","Geographical Information Systems (GIS)","0"
"BIOU2PH","computational","Graphic Design","2"
"BIOU2PH","computational","Modelling","0"
"BIOU2PH","computational","Presentation Software","1"
"BIOU2PH","computational","Remote Meeting/Collaborative Software","0"
"BIOU2PH","computational","Remote Sensing (data collection and analysis)","0"
"BIOU2PH","computational","Social Media","0"
"BIOU2PH","computational","Spreadsheet Creation and Management","0"
"BIOU2PH","computational","Statistical Programmes","0"
"BIOU2PH","computational","Word Processing","0"
"BIOU2PH","field","Application of Remote Observations","0"
"BIOU2PH","field","Conducting Transects","0"
"BIOU2PH","field","Core Skills","0"
"BIOU2PH","field","Drone Observations","0"
"BIOU2PH","field","Environmental Impact Assessment","0"
"BIOU2PH","field","GPS Usage","0"
"BIOU2PH","field","Health and Safety Competency","0"
"BIOU2PH","field","Mapping Skills","0"
"BIOU2PH","field","Sampling: In-situ Monitoring","0"
"BIOU2PH","field","Sampling: Physical Collection","0"
"BIOU2PH","field","Species Monitoring","0"
"BIOU2PH","lab","Accurate Result Reporting","0"
"BIOU2PH","lab","Air Quality Analysis","0"
"BIOU2PH","lab","Chemical Handling","0"
"BIOU2PH","lab","Developing and Implementing SOPs","0"
"BIOU2PH","lab","Good Laboratory Practices (GLP)","0"
"BIOU2PH","lab","Maintaining Lab Notebooks","0"
"BIOU2PH","lab","Microscopy","0"
"BIOU2PH","lab","Operating Lab Equipment","0"
"BIOU2PH","lab","Physical Chemical Analysis","0"
"BIOU2PH","lab","Pipetting","0"
"BIOU2PH","lab","Risk Assessments","0"
"BIOU2PH","lab","Sample Preparation and Handling","0"
"BIOU2PH","lab","Soil Quality Assessment","0"
"BIOU2PH","lab","Water Quality Assessment","0"
"BIOU2PH","personal","Adaptability","0"
"BIOU2PH","personal","Verbal Communication","0"
"BIOU2PH","personal","Written Communication","2"
"BIOU2PH","personal","Conflict Resolution","0"
"BIOU2PH","personal","Critical Thinking","2"
"BIOU2PH","personal","Detail-Orientated Skills","0"
"BIOU2PH","personal","Innovation","0"
"BIOU2PH","personal","Integrated Problem-solving","0"
"BIOU2PH","personal","Interpersonal Skills","0"
"BIOU2PH","personal","Leadership","0"
"BIOU2PH","personal","Reliability","0"
"BIOU2PH","personal","Resourcefulness","0"
"BIOU2PH","personal","Self-awareness","0"
"BIOU2PH","personal","Self-motivation","1"
"BIOU2PH","personal","Teamwork & Collaboration","0"
"BIOU2PH","personal","Time Management","1"
"ENVU5S5","computational","AI (generative) Competency","2"
"ENVU5S5","computational","Computer Programming","2"
"ENVU5S5","computational","Data Management","3"
"ENVU5S5","computational","Effective Email Communication","1"
"ENVU5S5","computational","Geographical Information Systems (GIS)","0"
"ENVU5S5","computational","Graphic Design","2"
"ENVU5S5","computational","Modelling","2"
"ENVU5S5","computational","Presentation Software","2"
"ENVU5S5","computational","Remote Meeting/Collaborative Software","2"
"ENVU5S5","computational","Remote Sensing (data collection and analysis)","0"
"ENVU5S5","computational","Social Media","0"
"ENVU5S5","computational","Spreadsheet Creation and Management","2"
"ENVU5S5","computational","Statistical Programmes","2"
"ENVU5S5","computational","Word Processing","0"
"ENVU5S5","field","Application of Remote Observations","0"
"ENVU5S5","field","Conducting Transects","3"
"ENVU5S5","field","Core Skills","0"
"ENVU5S5","field","Drone Observations","0"
"ENVU5S5","field","Environmental Impact Assessment","0"
"ENVU5S5","field","GPS Usage","0"
"ENVU5S5","field","Health and Safety Competency","1"
"ENVU5S5","field","Mapping Skills","0"
"ENVU5S5","field","Sampling: In-situ Monitoring","0"
"ENVU5S5","field","Sampling: Physical Collection","3"
"ENVU5S5","field","Species Monitoring","2"
"ENVU5S5","lab","Accurate Result Reporting","3"
"ENVU5S5","lab","Air Quality Analysis","0"
"ENVU5S5","lab","Chemical Handling","2"
"ENVU5S5","lab","Developing and Implementing SOPs","0"
"ENVU5S5","lab","Good Laboratory Practices (GLP)","1"
"ENVU5S5","lab","Maintaining Lab Notebooks","2"
"ENVU5S5","lab","Microscopy","2"
"ENVU5S5","lab","Operating Lab Equipment","2"
"ENVU5S5","lab","Physical Chemical Analysis","3"
"ENVU5S5","lab","Pipetting","0"
"ENVU5S5","lab","Risk Assessments","1"
"ENVU5S5","lab","Sample Preparation and Handling","3"
"ENVU5S5","lab","Soil Quality Assessment","3"
"ENVU5S5","lab","Water Quality Assessment","0"
"ENVU5S5","personal","Adaptability","1"
"ENVU5S5","personal","Verbal Communication","3"
"ENVU5S5","personal","Written Communication","3"
