collection,module_code,module_name,has_skills,semester
CELFSE6,AQUU6MB,Changing Oceans,FALSE,Spring
CELFSE6,BIOU6BE,Behavioural Ecology,TRUE,Spring
CELFSE6,BIOU6PE,Plant Ecology,TRUE,Spring
CELFSE6,BIOU9IN,Infectious Disease,FALSE,Spring
CELFSE6,BIOU9PL,Applied Biological Sciences Placement,TRUE,Spring
EGOFFY4,BIOU6PE,Plant Ecology,true,Spring
EGOFFY4,ENVU9BC,Biodiversity Conservation and Management,true,Spring
EGOFFY4,ENVU5EP,Environmental Policy in a Changing World,true,Autumn
EGOFFY4,ENVU5S5,Living Soils,true,Autumn
EGOFFY4,ENVU6SP,Sustainable Landscapes,true,Spring
EGOFFY4,ENVU9EO,Earth Observation,true,Spring
EGOFFY4,ENVU9WM,Sustainable Water Management,true,Autumn
EGOFFY4,EOEU6S6,Mountain Leader Assessment,true,
EGOFFY4,GEOU6GI,Sustainable Development,true,Spring
EGOFFY4,GEOU9EH,Environmental Hazards,true,Spring
EGOFFY4,GEOU9GL,Glaciers and Landscape,true,Autumn
EGOFFY4,GEOU9IC,Scotland Field Course,true,Autumn
EGOFFY4,GEOU9SP,Geographical Information Systems,true,Autumn
EGOFFY4,SCIU7SR,Statistics Using R,true,Autumn
EOEFYR3,ENVU5EP,Environmental Policy in a Changing World,true,Autumn
EOEFYR3,ENVU9BC,Biodiversity Conservation and Management,true,Spring
EOEFYR3,ENVU9FC,International Field Course,true,Spring
EOEFYR3,BIOU6PE,Plant Ecology,true,Spring
EOEFYR3,BIOU9PC,Population and Community Ecology,true,Autumn
EOEFYR3,ENVU5S5,Living Soils,true,Autumn
EOEFYR3,ENVU6SP,Sustainable Landscapes,true,Spring
EOEFYR3,ENVU9EO,Earth Observation,true,Spring
EOEFYR3,EOEU5OE,Outdoor education in practice: work placement,false,
EOEFYR3,EOEU6S6,Mountain Leader Assessment,true,
EOEFYR3,GEOU6GI,Sustainable Development,true,Spring
EOEFYR3,GEOU9EH,Environmental Hazards,true,Spring
EOEFYR3,GEOU9GL,Glaciers and Landscape,true,Autumn
EOEFYR3,GEOU9IC,Scotland Field Course,true,Autumn
EOEFYR3,SCIU7SR,Statistics Using R,true,Autumn
EOEFYR4,BIOU6PE,Plant Ecology,true,Spring
EOEFYR4,BIOU9PC,Population and Community Ecology,true,Autumn
EOEFYR4,ENVU5EP,Environmental Policy in a Changing World,true,Autumn
EOEFYR4,ENVU5S5,Living Soils,true,Autumn
EOEFYR4,ENVU6EA,Methods and Applications in Environmental Sciences,true,Spring
EOEFYR4,ENVU6SP,Sustainable Landscapes,true,Spring
EOEFYR4,ENVU9BC,Biodiversity Conservation and Management,true,Spring
EOEFYR4,ENVU9EO,Earth Observation,true,Spring
EOEFYR4,ENVU9WM,Sustainable Water Management,true,Autumn
EOEFYR4,EOEU6S6,Mountain Leader Assessment,true,
EOEFYR4,GEOU6GI,Sustainable Development,true,Spring
EOEFYR4,GEOU9EH,Environmental Hazards,true,Spring
EOEFYR4,GEOU9GL,Glaciers and Landscape,true,Autumn
EOEFYR4,GEOU9IC,Scotland Field Course,true,Autumn
EOEFYR4,GEOU9SP,Geographical Information Systems,true,Autumn
EOEFYR4,SCIU7SR,Statistics Using R,true,Autumn
